2020-07-21T06:13:41.353Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:14:26.423Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:14:26.441Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:14:26.757Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:14:26.761Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:18:25.640Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:18:25.652Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:18:26.051Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:18:26.055Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:18:55.684Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:18:55.694Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:18:55.978Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:18:55.983Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:19:26.498Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:19:26.536Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:19:26.844Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:19:26.849Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:21:33.284Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:21:33.313Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:21:33.668Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:21:33.672Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:23:02.016Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:23:02.044Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:23:02.421Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:23:02.427Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:32:03.858Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:32:03.869Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:32:04.209Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:32:04.213Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:34:24.492Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:34:24.503Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:34:24.766Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:34:24.775Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:34:49.790Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:34:49.797Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:34:49.958Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:34:49.963Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:37:54.454Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:37:54.484Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:37:54.675Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:37:54.679Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T10:29:52.449Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T10:29:52.489Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T10:29:53.099Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T10:29:53.103Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T12:38:10.192Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T12:38:10.220Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T12:38:10.556Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T12:38:10.560Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T15:25:39.320Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T15:25:39.350Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T15:25:39.628Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T15:25:39.631Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T16:02:09.433Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T16:02:09.442Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T16:02:09.547Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T16:02:09.551Z | INFO | 2020-07-21.log | Categories fetched successfully | 
